OUTAGE_ID,PLANT_ID,REGION_ID,OUTAGE_DATE,START_TIME,END_TIME,DURATION_HOURS,OUTAGE_TYPE,AFFECTED_CUSTOMERS,ENERGY_NOT_SUPPLIED_MWH,CAUSE_DESCRIPTION,RESTORATION_METHOD,COST_KRW
33,PLT008,RGN007,2023-04-28,18:00,20:35,2.59,계획정전,38280,991.1,안전 점검 의무 이행,자동 재투입 장치 동작,1053673951.0
34,PLT009,RGN004,2024-11-19,23:45,02:34,2.82,계획정전,37050,852.4,송전선로 교체 공사,긴급 복구팀 투입 및 임시 설비 가동,1690902906.0
35,,RGN008,2024-09-14,11:00,07:20,20.34,강제정전,37256,6149.6,변압기 과부하로 인한 트립,긴급 복구팀 투입 및 임시 설비 가동,1420370307.0
36,PLT004,RGN005,2024-11-22,15:30,20:15,4.76,계획정전,11437,1800.0,변전소 변압기 교체 작업,긴급 복구팀 투입 및 임시 설비 가동,583986725.0
37,PLT002,RGN002,2024-08-05,04:45,14:46,10.02,강제정전,46621,814.7,변압기 과부하로 인한 트립,자동 재투입 장치 동작,
38,,RGN006,2023-06-02,18:30,23:31,5.02,계획정전,7297,493.4,송전선로 교체 공사,이동형 발전기 투입,
39,,RGN001,2023-05-03,20:30,03:09,6.65,강제정전,45489,3140.8,지하케이블 절연 파괴,긴급 복구팀 투입 및 임시 설비 가동,1276520475.0
40,,RGN003,2023-12-21,07:30,06:09,22.66,설비고장,3679,7721.5,변압기 내부 절연유 열화,우회 송전 경로 전환,
41,PLT005,RGN001,2022-08-22,18:30,00:33,6.06,설비고장,3311,2712.4,개폐기 접촉 불량,이동형 발전기 투입,1170598150.0
42,PLT002,RGN001,2024-04-30,20:00,19:18,23.31,설비고장,8628,1050.0,계기용 변성기 고장,이동형 발전기 투입,1324959382.0
43,,RGN007,2022-07-06,09:30,04:11,42.69,자연재해,45577,18237.3,폭설로 인한 전선 단선 및 설비 파손,자동 재투입 장치 동작,83433641.0
44,,RGN007,2023-12-26,12:30,13:49,1.33,수요초과,635,310.0,피크 시간대 수요 예측 초과,이동형 발전기 투입,504566446.0
45,,RGN002,2024-02-21,10:00,12:05,2.09,계획정전,3772,388.4,케이블 노후화로 인한 예방 교체,긴급 복구팀 투입 및 임시 설비 가동,1742442410.0
46,PLT005,RGN009,2023-07-21,12:15,16:22,4.13,계획정전,47942,865.8,송전선로 교체 공사,예비 변압기 절체,1374215651.0
47,PLT003,RGN008,2023-09-18,23:00,03:57,4.96,계획정전,36708,1199.4,정기 설비 점검 및 보수 작업,우회 송전 경로 전환,665233038.0
48,,RGN003,2022-02-07,15:00,19:16,4.27,계획정전,32132,44.2,정기 설비 점검 및 보수 작업,긴급 복구팀 투입 및 임시 설비 가동,478881047.0
49,PLT002,RGN008,2023-04-20,01:30,10:43,9.22,설비고장,27981,1137.5,케이블 접속 불량으로 인한 과열,자동 재투입 장치 동작,77376863.0
50,,RGN003,2023-04-11,21:15,12:12,14.95,강제정전,13782,835.9,변압기 과부하로 인한 트립,긴급 복구팀 투입 및 임시 설비 가동,362115390.0
51,,RGN007,2023-10-05,10:30,10:43,24.23,설비고장,15536,1107.1,계기용 변성기 고장,자동 재투입 장치 동작,419487716.0
52,PLT011,RGN008,2022-12-21,10:45,01:48,15.06,설비고장,46964,6083.0,케이블 접속 불량으로 인한 과열,긴급 복구팀 투입 및 임시 설비 가동,
53,PLT009,RGN002,2024-02-17,13:15,19:48,6.55,계획정전,19905,2616.1,변전소 변압기 교체 작업,자동 재투입 장치 동작,1427804305.0
54,PLT009,RGN003,2023-07-15,11:15,17:28,6.23,계획정전,15291,143.6,정기 설비 점검 및 보수 작업,자동 재투입 장치 동작,125847065.0
55,,RGN005,2022-10-13,15:00,17:54,2.9,설비고장,11310,1165.4,송전선 코로나 방전 이상,예비 변압기 절체,148694453.0
56,PLT011,RGN009,2024-07-17,10:45,03:08,16.39,강제정전,34924,1355.3,연결 접속부 과열로 인한 단락,우회 송전 경로 전환,
57,,RGN009,2022-12-06,00:30,19:42,19.2,설비고장,24496,5881.1,개폐기 접촉 불량,예비 변압기 절체,810959284.0
58,PLT006,RGN001,2023-03-12,20:00,01:55,5.93,계획정전,22707,1364.9,케이블 노후화로 인한 예방 교체,복구반 현장 출동 후 설비 수리,
59,PLT003,RGN003,2023-01-26,04:00,04:45,0.76,수요초과,46682,142.3,계통 주파수 저하로 인한 긴급 부하 차단,예비 변압기 절체,1385822918.0
60,,RGN001,2024-08-15,04:15,16:57,12.7,설비고장,15034,4445.4,개폐기 접촉 불량,긴급 복구팀 투입 및 임시 설비 가동,1850246010.0
61,PLT009,RGN009,2022-04-10,05:15,07:36,2.36,계획정전,26784,964.1,변전소 변압기 교체 작업,긴급 복구팀 투입 및 임시 설비 가동,
62,PLT012,RGN006,2024-04-29,01:45,09:06,7.36,계획정전,2620,3512.1,안전 점검 의무 이행,이동형 발전기 투입,
63,,RGN003,2022-09-02,22:45,03:09,28.41,자연재해,26006,8636.8,낙뢰로 인한 절연체 파손,자동 재투입 장치 동작,1422284333.0
64,PLT012,RGN008,2023-02-17,02:45,20:19,17.58,설비고장,12133,442.1,계기용 변성기 고장,예비 변압기 절체,832377149.0
65,PLT009,RGN008,2022-05-20,05:30,03:41,22.19,강제정전,48624,5841.4,보호계전기 오동작,자동 재투입 장치 동작,473658318.0
66,,RGN007,2024-07-14,03:30,15:48,60.3,자연재해,26722,6840.4,태풍으로 인한 송전탑 도복,우회 송전 경로 전환,
67,,RGN009,2024-11-02,07:45,20:07,12.38,강제정전,25622,2920.1,연결 접속부 과열로 인한 단락,우회 송전 경로 전환,538013685.0
68,PLT011,RGN005,2024-05-20,19:45,00:21,4.61,계획정전,27337,2168.8,송전선로 교체 공사,이동형 발전기 투입,
69,PLT008,RGN007,2023-09-18,04:15,06:40,2.42,계획정전,49088,1049.7,송전선로 교체 공사,우회 송전 경로 전환,755843802.0
70,PLT011,RGN008,2024-10-18,02:45,05:13,2.47,계획정전,12718,442.4,변전소 변압기 교체 작업,우회 송전 경로 전환,997265803.0
71,,RGN003,2022-09-01,03:30,17:50,62.34,자연재해,35996,13296.3,태풍으로 인한 송전탑 도복,예비 변압기 절체,1411688735.0
72,PLT011,RGN008,2024-07-17,15:45,19:16,3.52,계획정전,14007,448.4,케이블 노후화로 인한 예방 교체,우회 송전 경로 전환,
73,,RGN001,2022-06-29,20:00,02:10,6.17,계획정전,23260,422.8,케이블 노후화로 인한 예방 교체,이동형 발전기 투입,591140087.0
74,PLT008,RGN008,2023-03-27,05:45,14:00,8.25,강제정전,36495,424.9,보호계전기 오동작,복구반 현장 출동 후 설비 수리,
75,PLT009,RGN008,2024-01-31,20:30,15:11,18.69,설비고장,20434,9087.0,송전선 코로나 방전 이상,자동 재투입 장치 동작,592153297.0
76,,RGN007,2023-09-07,13:15,16:31,3.28,계획정전,43540,800.7,케이블 노후화로 인한 예방 교체,예비 변압기 절체,92909855.0
77,PLT004,RGN009,2023-05-09,20:30,03:25,6.92,계획정전,19525,2147.4,변전소 변압기 교체 작업,긴급 복구팀 투입 및 임시 설비 가동,1055233242.0
78,PLT011,RGN005,2024-03-22,17:15,23:28,6.22,강제정전,3136,2442.7,지하케이블 절연 파괴,복구반 현장 출동 후 설비 수리,1812318011.0
79,,RGN003,2023-07-09,01:30,08:57,55.46,자연재해,39277,22155.4,낙뢰로 인한 절연체 파손,이동형 발전기 투입,397694961.0
80,,RGN009,2024-12-17,19:15,20:10,0.93,수요초과,6695,378.6,예비력 부족으로 인한 부하 차단,긴급 복구팀 투입 및 임시 설비 가동,1716266558.0
81,,RGN006,2023-03-16,12:45,02:30,37.76,설비고장,34577,14273.9,계기용 변성기 고장,긴급 복구팀 투입 및 임시 설비 가동,1646511344.0
82,PLT003,RGN001,2022-07-14,14:15,19:04,4.83,계획정전,3981,2205.3,케이블 노후화로 인한 예방 교체,자동 재투입 장치 동작,23902747.0
83,PLT011,RGN003,2024-12-01,23:45,06:42,6.95,강제정전,23136,820.5,차단기 오작동으로 인한 정전,복구반 현장 출동 후 설비 수리,64085222.0
84,,RGN006,2022-08-16,03:15,18:22,63.12,자연재해,39037,9195.7,폭설로 인한 전선 단선 및 설비 파손,예비 변압기 절체,1252894847.0
85,PLT006,RGN008,2023-03-26,13:30,08:20,42.84,설비고장,34363,19414.2,개폐기 접촉 불량,자동 재투입 장치 동작,421833171.0
86,,RGN002,2022-05-29,09:15,15:06,5.86,계획정전,413,341.7,송전선로 교체 공사,긴급 복구팀 투입 및 임시 설비 가동,1061364199.0
87,PLT008,RGN008,2022-09-05,00:45,00:01,47.28,자연재해,47916,16559.8,집중호우로 인한 지하설비 침수,예비 변압기 절체,
88,,RGN008,2022-09-09,05:00,00:07,19.12,자연재해,46785,8215.7,태풍으로 인한 송전탑 도복,복구반 현장 출동 후 설비 수리,
89,,RGN003,2023-08-21,22:00,04:18,30.3,자연재해,35572,5612.0,강풍으로 인한 전선 단선,복구반 현장 출동 후 설비 수리,
90,PLT007,RGN009,2024-10-27,02:45,13:28,10.72,강제정전,48905,5027.1,차단기 오작동으로 인한 정전,우회 송전 경로 전환,
91,,RGN001,2024-04-27,19:45,01:48,6.06,계획정전,23724,2275.5,변전소 변압기 교체 작업,긴급 복구팀 투입 및 임시 설비 가동,1711953391.0
92,PLT012,RGN007,2022-06-25,12:15,18:27,6.21,계획정전,43811,1954.7,안전 점검 의무 이행,예비 변압기 절체,
93,,RGN006,2024-04-02,05:15,11:55,6.67,계획정전,2425,472.9,변전소 변압기 교체 작업,이동형 발전기 투입,531860233.0
94,PLT002,RGN009,2024-09-13,01:15,22:32,21.29,강제정전,18869,6071.3,지하케이블 절연 파괴,이동형 발전기 투입,
95,PLT011,RGN004,2022-12-15,10:00,13:36,3.61,계획정전,32507,649.9,안전 점검 의무 이행,자동 재투입 장치 동작,809578333.0
96,,RGN004,2022-04-02,10:15,14:57,4.7,강제정전,44708,482.8,연결 접속부 과열로 인한 단락,복구반 현장 출동 후 설비 수리,1576750064.0
97,,RGN008,2023-09-02,15:00,08:19,65.32,자연재해,33916,17605.4,낙뢰로 인한 절연체 파손,예비 변압기 절체,393251050.0
98,,RGN002,2023-09-02,13:00,07:49,42.82,자연재해,18518,10797.5,폭설로 인한 전선 단선 및 설비 파손,자동 재투입 장치 동작,1485878775.0
99,PLT006,RGN002,2022-10-13,02:30,11:24,32.9,설비고장,45840,7203.8,케이블 접속 불량으로 인한 과열,복구반 현장 출동 후 설비 수리,53913840.0
100,,RGN009,2024-09-14,02:15,01:30,23.25,강제정전,39304,11119.0,차단기 오작동으로 인한 정전,복구반 현장 출동 후 설비 수리,335086863.0
101,PLT012,RGN008,2023-02-03,20:00,23:10,3.17,계획정전,46200,811.6,안전 점검 의무 이행,예비 변압기 절체,219177774.0
102,,RGN008,2024-09-13,23:45,22:47,47.04,자연재해,44026,5541.8,태풍으로 인한 송전탑 도복,예비 변압기 절체,1150670123.0
103,PLT007,RGN007,2024-08-26,19:00,06:42,59.7,자연재해,42072,2874.5,폭설로 인한 전선 단선 및 설비 파손,이동형 발전기 투입,421989860.0
104,PLT012,RGN003,2022-09-28,20:15,01:39,53.4,자연재해,32890,10569.9,강풍으로 인한 전선 단선,복구반 현장 출동 후 설비 수리,1179185411.0
105,PLT004,RGN009,2022-08-25,02:15,08:54,30.66,자연재해,47129,11143.9,폭설로 인한 전선 단선 및 설비 파손,이동형 발전기 투입,768618158.0
106,,RGN007,2022-07-15,09:30,14:45,29.26,자연재해,1572,3323.7,강풍으로 인한 전선 단선,이동형 발전기 투입,265433861.0
107,PLT003,RGN002,2022-08-02,15:45,23:30,7.76,계획정전,13558,2891.5,안전 점검 의무 이행,이동형 발전기 투입,482604629.0
108,PLT009,RGN007,2024-10-31,10:45,23:28,12.73,강제정전,17213,5695.2,차단기 오작동으로 인한 정전,이동형 발전기 투입,450091321.0
109,PLT003,RGN005,2024-02-17,22:00,05:18,7.31,계획정전,17107,1355.4,변전소 변압기 교체 작업,이동형 발전기 투입,239847848.0
110,,RGN006,2024-11-03,23:15,22:58,23.73,설비고장,46823,6929.0,계기용 변성기 고장,이동형 발전기 투입,1113308211.0
111,,RGN006,2022-01-03,13:45,18:33,4.8,계획정전,6745,55.8,정기 설비 점검 및 보수 작업,긴급 복구팀 투입 및 임시 설비 가동,1584658853.0
112,PLT004,RGN006,2022-02-12,22:00,05:56,7.94,계획정전,32968,798.5,변전소 변압기 교체 작업,우회 송전 경로 전환,
113,PLT002,RGN001,2024-08-31,01:30,14:49,13.33,강제정전,22248,6482.0,변압기 과부하로 인한 트립,자동 재투입 장치 동작,1900879363.0
114,PLT005,RGN008,2023-06-30,19:15,00:40,5.43,계획정전,47237,725.2,정기 설비 점검 및 보수 작업,이동형 발전기 투입,1942014210.0
115,PLT006,RGN003,2024-01-11,07:45,09:22,1.62,수요초과,32720,525.0,하계 냉방 수요 급증으로 예비율 부족,복구반 현장 출동 후 설비 수리,1529875239.0
116,,RGN004,2024-11-08,00:30,05:24,4.9,계획정전,12767,2407.8,송전선로 교체 공사,예비 변압기 절체,192669752.0
117,PLT008,RGN008,2024-02-19,17:00,23:50,6.84,강제정전,44154,2725.2,보호계전기 오동작,복구반 현장 출동 후 설비 수리,1613163976.0
118,PLT003,RGN004,2024-09-12,14:00,17:42,3.71,계획정전,21648,1388.4,안전 점검 의무 이행,복구반 현장 출동 후 설비 수리,
119,PLT009,RGN007,2022-06-30,08:30,09:39,1.15,수요초과,48882,259.1,예비력 부족으로 인한 부하 차단,이동형 발전기 투입,12773004.0
120,PLT008,RGN002,2022-01-17,15:00,16:23,1.39,수요초과,31976,94.2,하계 냉방 수요 급증으로 예비율 부족,복구반 현장 출동 후 설비 수리,753657504.0
121,PLT005,RGN007,2023-04-25,05:15,09:51,4.61,계획정전,7545,1232.5,정기 설비 점검 및 보수 작업,예비 변압기 절체,1204287176.0
122,PLT009,RGN003,2022-02-07,05:15,16:46,11.53,강제정전,23348,4351.2,차단기 오작동으로 인한 정전,긴급 복구팀 투입 및 임시 설비 가동,322275683.0
123,PLT005,RGN005,2022-04-09,09:00,05:22,44.38,설비고장,37644,15901.5,송전선 코로나 방전 이상,자동 재투입 장치 동작,1435149589.0
124,PLT007,RGN003,2024-09-25,06:15,16:44,10.49,강제정전,34487,1173.8,연결 접속부 과열로 인한 단락,우회 송전 경로 전환,1990278095.0
125,PLT006,RGN001,2023-08-15,11:00,22:40,11.67,자연재해,8039,5805.4,집중호우로 인한 지하설비 침수,긴급 복구팀 투입 및 임시 설비 가동,
126,,RGN003,2023-02-26,19:00,00:10,5.17,계획정전,29198,123.4,송전선로 교체 공사,긴급 복구팀 투입 및 임시 설비 가동,17875115.0
127,,RGN007,2024-12-28,06:00,10:45,4.76,계획정전,1008,177.7,케이블 노후화로 인한 예방 교체,긴급 복구팀 투입 및 임시 설비 가동,
128,PLT009,RGN002,2022-07-02,09:15,01:06,63.85,자연재해,32572,25543.0,강풍으로 인한 전선 단선,우회 송전 경로 전환,1646568204.0
129,PLT004,RGN002,2022-04-08,07:15,23:18,16.06,강제정전,3419,5044.9,연결 접속부 과열로 인한 단락,예비 변압기 절체,1627462800.0
130,,RGN002,2023-11-06,04:00,11:46,7.78,계획정전,41222,2611.7,안전 점검 의무 이행,복구반 현장 출동 후 설비 수리,1702635563.0
131,,RGN001,2024-12-30,13:30,13:08,23.64,강제정전,2523,9523.5,보호계전기 오동작,자동 재투입 장치 동작,1977982691.0
132,PLT001,RGN001,2023-06-27,12:30,18:35,6.09,계획정전,12337,106.4,케이블 노후화로 인한 예방 교체,우회 송전 경로 전환,1983383389.0
133,PLT001,RGN003,2023-06-19,09:45,11:54,2.16,계획정전,44614,393.5,케이블 노후화로 인한 예방 교체,복구반 현장 출동 후 설비 수리,143768807.0
134,PLT004,RGN006,2023-07-28,03:00,12:53,9.89,강제정전,23974,3972.8,지하케이블 절연 파괴,복구반 현장 출동 후 설비 수리,1811867788.0
135,,RGN006,2024-07-22,06:45,03:05,20.34,자연재해,2625,8164.1,낙뢰로 인한 절연체 파손,긴급 복구팀 투입 및 임시 설비 가동,161650682.0
136,PLT008,RGN008,2022-06-28,12:15,15:31,3.28,계획정전,15496,348.1,안전 점검 의무 이행,자동 재투입 장치 동작,1688933335.0
137,PLT010,RGN006,2024-06-14,13:00,07:04,18.07,강제정전,37741,2612.2,차단기 오작동으로 인한 정전,복구반 현장 출동 후 설비 수리,1539586131.0
138,PLT006,RGN006,2023-08-08,14:30,22:25,7.93,계획정전,35635,315.5,변전소 변압기 교체 작업,긴급 복구팀 투입 및 임시 설비 가동,1068016646.0
139,,RGN008,2024-08-26,20:15,17:54,21.66,설비고장,11669,8344.3,케이블 접속 불량으로 인한 과열,이동형 발전기 투입,192103383.0
140,,RGN009,2023-02-27,16:00,10:04,18.07,강제정전,24010,3278.0,지하케이블 절연 파괴,우회 송전 경로 전환,88543916.0
141,,RGN007,2022-10-06,21:15,22:03,24.8,설비고장,1909,4099.5,개폐기 접촉 불량,우회 송전 경로 전환,
142,PLT011,RGN002,2022-06-10,13:15,18:15,5.0,계획정전,39664,370.2,안전 점검 의무 이행,복구반 현장 출동 후 설비 수리,490721556.0
143,PLT011,RGN005,2024-09-03,02:45,06:01,27.27,자연재해,5038,6887.6,강풍으로 인한 전선 단선,자동 재투입 장치 동작,1565326672.0
144,PLT011,RGN007,2024-02-03,21:15,00:31,3.28,계획정전,23563,326.5,송전선로 교체 공사,우회 송전 경로 전환,1364904430.0
145,PLT007,RGN001,2022-07-08,15:45,16:28,0.73,수요초과,38867,213.1,계통 주파수 저하로 인한 긴급 부하 차단,우회 송전 경로 전환,163131705.0
146,PLT012,RGN002,2022-07-30,08:00,21:25,13.43,자연재해,22021,1303.5,낙뢰로 인한 절연체 파손,복구반 현장 출동 후 설비 수리,900379659.0
147,PLT012,RGN005,2022-07-16,17:45,16:04,22.32,자연재해,7539,2666.2,집중호우로 인한 지하설비 침수,복구반 현장 출동 후 설비 수리,
148,PLT002,RGN001,2024-12-03,12:15,08:16,44.02,설비고장,17961,7837.4,계기용 변성기 고장,복구반 현장 출동 후 설비 수리,
149,PLT009,RGN001,2024-05-09,17:00,19:43,2.72,계획정전,33630,329.7,정기 설비 점검 및 보수 작업,복구반 현장 출동 후 설비 수리,1829937026.0
150,,RGN003,2024-01-01,04:15,01:54,45.65,설비고장,44628,10172.1,개폐기 접촉 불량,자동 재투입 장치 동작,1255119857.0
